SourceFile,DestinationRelativePath,MigrationType,SourceSha256,DestinationSha256,Verification
LayerShell.ps1,src/Nexus.Developer.Client.Legacy/LayerShell.ps1,verbatim,7d3be8d98e22cec617a94aff906fa62117d22a879413a4dd74ef7ab5eb2535b6,7d3be8d98e22cec617a94aff906fa62117d22a879413a4dd74ef7ab5eb2535b6,MATCH
NexusDevLauncher.cs,src/Nexus.Developer.Client.Legacy/NexusDevLauncher.cs,verbatim,889e3011110ea538b993e9a227d6b1a5faeb1a926b30b20f3cac2ffe711202d3,889e3011110ea538b993e9a227d6b1a5faeb1a926b30b20f3cac2ffe711202d3,MATCH
NexusDev.exe,src/Nexus.Developer.Client.Legacy/NexusDev.exe,verbatim,4cdf226d36a417d6855c63a6e53f7891e3c64004bdb2be6c5fcc8b579a490b9d,4cdf226d36a417d6855c63a6e53f7891e3c64004bdb2be6c5fcc8b579a490b9d,MATCH
config/layer-pages.json,src/Nexus.Developer.Client.Legacy/config/layer-pages.json,verbatim,03c1c5beb7fb796d0dfbeb2503dfeb0491377d1404e0c83cd2e535c3b9d26e54,03c1c5beb7fb796d0dfbeb2503dfeb0491377d1404e0c83cd2e535c3b9d26e54,MATCH
layers/07-developer/DeveloperLayer.ps1,src/Nexus.Developer.Client.Legacy/layers/07-developer/DeveloperLayer.ps1,verbatim,0b93bfe74d3c38f1c57fab1b6e2cc679759b9de58c5ef07f2124d7bd54996d64,0b93bfe74d3c38f1c57fab1b6e2cc679759b9de58c5ef07f2124d7bd54996d64,MATCH
notify.ps1,tools/local/notify.ps1,verbatim,d72a8e07b3b6b0571a52afc83e18e08fc00dddc399ec791be8433431ae9794f7,d72a8e07b3b6b0571a52afc83e18e08fc00dddc399ec791be8433431ae9794f7,MATCH
checkpoint.ps1,tools/local/checkpoint.ps1,verbatim,798ba5d530da5dbce781facf8ea9c7754379c830d25f3ee069e8c0612fc5fb95,798ba5d530da5dbce781facf8ea9c7754379c830d25f3ee069e8c0612fc5fb95,MATCH
verify.ps1,tools/local/verify.ps1,verbatim,7929b0c7bae6f06daca9f06111a55e10be27452a7c24b00fb11c17800282a31b,7929b0c7bae6f06daca9f06111a55e10be27452a7c24b00fb11c17800282a31b,MATCH
AI-Config/COMPLETION-RULES.md,src/Nexus.Developer.Client.Legacy/AI-Config/COMPLETION-RULES.md,verbatim,3fb7914312f79b8bd33215aff18e5bcb2ccdf1811cb9704eaec8d561835899c0,3fb7914312f79b8bd33215aff18e5bcb2ccdf1811cb9704eaec8d561835899c0,MATCH
AI-Config/EXECUTION-RULES.md,src/Nexus.Developer.Client.Legacy/AI-Config/EXECUTION-RULES.md,verbatim,d0b5062d73fe53ac92c9a56c646b6384525a2cf2bcff37083c549aca487f1380,d0b5062d73fe53ac92c9a56c646b6384525a2cf2bcff37083c549aca487f1380,MATCH
AI-Config/ESCALATION-RULES.md,src/Nexus.Developer.Client.Legacy/AI-Config/ESCALATION-RULES.md,verbatim,0dafd367758118201956e351dadd1f74b8bbc8a1331d0ff09bda1c340c400c7b,0dafd367758118201956e351dadd1f74b8bbc8a1331d0ff09bda1c340c400c7b,MATCH
AI-Config/deepcode.ps1,src/Nexus.Developer.Client.Legacy/AI-Config/deepcode.ps1,verbatim,e89bea8290f8eff20ebc36da0a7c1cb6bc922d3169263dc26c9cab89638f5cdb,e89bea8290f8eff20ebc36da0a7c1cb6bc922d3169263dc26c9cab89638f5cdb,MATCH
AI-Config/templates/CLAUDE.template.md,src/Nexus.Developer.Client.Legacy/AI-Config/templates/CLAUDE.template.md,verbatim,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,MATCH
NexusDev.ps1,src/Nexus.Developer.Client.Legacy/NexusDev.ps1,intentionally-edited-for-architecture,d1dd5236b35559cc4313555acf4d5a93e0e7a54f1f042ecd3c314cacd41fe968,577686a016ab71c71aa3baab34aa701d8e2b15191107f96141207977b2f817fe,DIFFERS-AS-EXPECTED
install-shortcut.ps1,src/Nexus.Developer.Client.Legacy/install-shortcut.ps1,intentionally-edited-for-architecture,ca21000ae0c312f0ceb43b8f56bb1bd3e106e1c9e4970e828df4ba94a746fac7,51222d2e72da7dea57a56f740270d5004b877cd790a9ec31d4d78fd6b2b53a7f,DIFFERS-AS-EXPECTED
start-dev.ps1,tools/local/start-dev.ps1,intentionally-edited-for-architecture,b8ade344cd67a18daefd47969175eb1fbcdbeca3a7e77dcab1a7f6ba7f873156,e245a2d14857ce401fd52feb3e20385183eb6c380a55cce370b00ed1a0fc646e,DIFFERS-AS-EXPECTED
config/layers.json,src/Nexus.Developer.Client.Legacy/config/layers.json,intentionally-edited-for-architecture,0103286bc55816ccbc19c6764c7d75f1d9d1dbd9864bc72f3ea433bfb423865e,8d5007a1de9e2349ccd11dd60dfbcb6181899fb34ee96a6a80f245c595655596,DIFFERS-AS-EXPECTED
layers/07-developer/current-task.json,src/Nexus.Developer.Client.Legacy/layers/07-developer/current-task.json,intentionally-edited-for-architecture,f8dc7b122da62cc73fb57ebb782355be0d98ebf2dfb4418ebb35ffff209cd441,2e92aaa4aefd72979011bf5e3a73a66c21a2db58339da02afb0806b31b44ec8b,DIFFERS-AS-EXPECTED
AI-Config/GLOBAL-RULES.md,src/Nexus.Developer.Client.Legacy/AI-Config/GLOBAL-RULES.md,intentionally-edited-for-architecture,6b604b2493ba812cb60bcc2a45b130eb62d223f4e26e34e03da335fb5b87f80b,f4e4fa85220e3cf6f2608b1ec3ad07611e851fd0080635901157f082ff8638eb,DIFFERS-AS-EXPECTED
AI-Config/README.md,src/Nexus.Developer.Client.Legacy/AI-Config/README.md,intentionally-edited-for-architecture,913b949ff1eba020ef51fa9c7a384ffabac9eec3622ce12fd266d78e6fbb6935,58c49a01090f27cabbc6320a7cc8a858b210b410ff870caa1f96c3b13bd857b4,DIFFERS-AS-EXPECTED
